subject	roi	quadrant	condition	n_trials	n_voxels	mean_beta
6	V2	upper_right	distractor	144	26	0.2830200791358948
6	V2	upper_right	neutral	396	26	0.30254825949668884
6	V2	upper_left	target	180	33	0.6561889052391052
6	V2	upper_left	distractor	144	33	0.5819962620735168
6	V2	upper_left	neutral	396	33	0.49690014123916626
6	V2	lower_left	target	180	22	-0.35030126571655273
6	V2	lower_left	distractor	144	22	-0.3277200758457184
6	V2	lower_left	neutral	396	22	-0.37598559260368347
6	V2	lower_right	target	180	53	0.037122517824172974
6	V2	lower_right	distractor	144	53	-0.01778331771492958
6	V2	lower_right	neutral	396	53	-0.04779983311891556
6	V3	upper_right	target	180	34	0.2060225009918213
6	V3	upper_right	distractor	144	34	0.06004032865166664
6	V3	upper_right	neutral	396	34	0.14847490191459656
6	V3	upper_left	target	180	23	0.10504413396120071
6	V3	upper_left	distractor	144	23	0.21618326008319855
6	V3	upper_left	neutral	396	23	0.17896215617656708
6	V3	lower_left	target	180	11	-0.08622986823320389
6	V3	lower_left	distractor	144	11	-0.15223903954029083
6	V3	lower_left	neutral	396	11	-0.09673213958740234
6	V3	lower_right	target	180	34	0.036654528230428696
6	V3	lower_right	distractor	144	34	-0.006020350381731987
6	V3	lower_right	neutral	396	34	0.03580932319164276
6	V3AB	upper_right	target	180	10	-0.9970333576202393
6	V3AB	upper_right	distractor	144	10	-1.0755351781845093
6	V3AB	upper_right	neutral	396	10	-1.045790433883667
6	V3AB	upper_left	target	180	23	-0.7174443602561951
6	V3AB	upper_left	distractor	144	23	-0.7719422578811646
6	V3AB	upper_left	neutral	396	23	-0.8394342064857483
6	V3AB	lower_left	target	180	33	-0.3097427487373352
6	V3AB	lower_left	distractor	144	33	-0.34346842765808105
6	V3AB	lower_left	neutral	396	33	-0.3380434513092041
6	V3AB	lower_right	target	180	27	0.3365936577320099
6	V3AB	lower_right	distractor	144	27	0.38780152797698975
6	V3AB	lower_right	neutral	396	27	0.3675733208656311
6	hV4	upper_right	target	180	13	0.020850377157330513
6	hV4	upper_right	distractor	144	13	-0.027977880090475082
6	hV4	upper_right	neutral	396	13	-0.07285358011722565
6	hV4	upper_left	target	180	14	0.28086188435554504
6	hV4	upper_left	distractor	144	14	0.45530784130096436
6	hV4	upper_left	neutral	396	14	0.33819496631622314
6	LO2	upper_right	target	180	15	0.29933685064315796
6	LO2	upper_right	distractor	144	15	0.31213685870170593
6	LO2	upper_right	neutral	396	15	0.2441568821668625
6	LO2	upper_left	target	180	5	-0.057081520557403564
6	LO2	upper_left	distractor	144	5	-0.06906355172395706
6	LO2	upper_left	neutral	396	5	-0.09936536848545074
6	LO2	lower_left	target	180	8	-0.21542002260684967
6	LO2	lower_left	distractor	144	8	-0.1675075739622116
6	LO2	lower_left	neutral	396	8	-0.17725491523742676
6	LO2	lower_right	target	180	6	0.47897085547447205
6	LO2	lower_right	distractor	144	6	0.2962316870689392
